건물용도코드,건물종류,건물일련번호,가점척도,lon,lat
3100,공공시설,79945,0,127.137188,37.67631441
3100,공공시설,79946,0,127.1371864,37.67484466
3100,공공시설,79947,0,127.137386,37.67430715
3100,공공시설,79948,0,127.1370345,37.673874
3100,공공시설,79485,0,127.313586,37.55954786
3100,공공시설,79785,0,127.133444,37.68181877
3100,공공시설,79805,0,127.1335602,37.68238003
3100,공공시설,12402,0,127.1677117,37.70528348
3100,공공시설,64420,0,127.2070865,37.64964028
3100,공공시설,64422,0,127.211918,37.64803482
3100,공공시설,64423,0,127.2132028,37.64847398
3100,공공시설,64421,0,127.2117754,37.64914745
3100,공공시설,64424,0,127.2133485,37.64871874
3100,공공시설,64425,0,127.2133987,37.64887692
3100,공공시설,64426,0,127.2137924,37.64841906
3100,공공시설,64427,0,127.2138384,37.64868689
3100,공공시설,64428,0,127.2191668,37.64861586
3100,공공시설,64429,0,127.2193833,37.64886349
3100,공공시설,64430,0,127.2213484,37.64823757
3100,공공시설,64431,0,127.2230751,37.6490328
3100,공공시설,64432,0,127.2250998,37.65013087
3100,공공시설,64435,0,127.2078885,37.64910726
1001,단독주택,6930,0,127.1015875,37.68062106
1001,단독주택,6929,0,127.1017897,37.68072425
1001,단독주택,17761,0,127.1083523,37.68277347
1001,단독주택,17760,0,127.1081519,37.68266465
1001,단독주택,6927,0,127.109229,37.68156482
1001,단독주택,6928,0,127.1090099,37.68154349
1001,단독주택,11375,0,127.1512239,37.60481324
1001,단독주택,11364,0,127.1537897,37.60539845
1001,단독주택,49750,0,127.1544691,37.60558539
1001,단독주택,49754,0,127.154358,37.60557022
1001,단독주택,49753,0,127.1541851,37.60555169
1001,단독주택,49751,0,127.154277,37.60558739
1001,단독주택,49752,0,127.1542101,37.6056203
1001,단독주택,49748,0,127.1551117,37.60589914
1001,단독주택,11366,0,127.15649,37.60521115
1001,단독주택,11370,0,127.1572596,37.60502755
1001,단독주택,11369,0,127.1571971,37.60528847
1001,단독주택,11358,0,127.1566308,37.60574898
1001,단독주택,11359,0,127.1565016,37.60576638
1001,단독주택,11352,0,127.1573188,37.60553957
1001,단독주택,11313,0,127.1576346,37.60655077
1001,단독주택,11175,0,127.1592535,37.60660062
1001,단독주택,11176,0,127.1593614,37.6066836
1001,단독주택,34768,0,127.1596877,37.60658822
1001,단독주택,34765,0,127.1598719,37.60668023
1001,단독주택,34769,0,127.1600002,37.60674035
1001,단독주택,34766,0,127.1599489,37.60671961
1001,단독주택,34767,0,127.1597485,37.60662294
1001,단독주택,34754,0,127.1599479,37.60677599
1001,단독주택,34756,0,127.1599006,37.60675055
1001,단독주택,34757,0,127.1598624,37.60655689
1001,단독주택,34758,0,127.159984,37.60653951
1001,단독주택,34755,0,127.1600104,37.60647522
1001,단독주택,34748,0,127.1594962,37.60624363
1001,단독주택,34747,0,127.1594432,37.60619137
1001,단독주택,34749,0,127.1594055,37.60622995
1001,단독주택,34761,0,127.160027,37.60641323
1001,단독주택,34759,0,127.159863,37.60644651
1001,단독주택,34760,0,127.1598741,37.60640073
1001,단독주택,34764,0,127.1598086,37.60647322
1001,단독주택,34762,0,127.1596794,37.60651033
1001,단독주택,34763,0,127.1597003,37.60644018
1001,단독주택,34743,0,127.159658,37.60631491
1001,단독주택,34745,0,127.1597289,37.60636956
1001,단독주택,11319,0,127.1594392,37.6071772
1001,단독주택,11318,0,127.1595941,37.6072594
1001,단독주택,11317,0,127.159688,37.60731124
1001,단독주택,36716,0,127.1610885,37.60692048
1001,단독주택,36717,0,127.1613683,37.60657551
1001,단독주택,36715,0,127.1617008,37.60655369
1001,단독주택,11345,0,127.160343,37.60695699
1001,단독주택,11341,0,127.1606962,37.60699027
1001,단독주택,11342,0,127.160786,37.60717959
1001,단독주택,11340,0,127.1608502,37.60721129
1001,단독주택,11206,0,127.1624495,37.60824894
1001,단독주택,11209,0,127.1626186,37.60827977
1001,단독주택,57419,0,127.1638967,37.6066451
1001,단독주택,11217,0,127.1629552,37.60851592
1001,단독주택,11211,0,127.1631307,37.60864065
1001,단독주택,11210,0,127.1631471,37.60849841
1001,단독주택,11212,0,127.1632726,37.60871981
1001,단독주택,11214,0,127.1635958,37.6088864
1001,단독주택,11215,0,127.1637724,37.6089847
1001,단독주택,57418,0,127.1640185,37.60891283
1001,단독주택,57416,0,127.1639428,37.60887063
1001,단독주택,57415,0,127.1638201,37.60882227
1001,단독주택,57414,0,127.1637054,37.60877416
1001,단독주택,57413,0,127.1635068,37.6086776
1001,단독주택,57412,0,127.1634119,37.60863435
1001,단독주택,57411,0,127.1633067,37.60858265
1001,단독주택,11226,0,127.1640425,37.60915308
1001,단독주택,11205,0,127.1641289,37.6091564
1001,단독주택,57410,0,127.1644127,37.60911134
1001,단독주택,11303,0,127.1646402,37.61001719
1001,단독주택,57393,0,127.1650987,37.60939805
1001,단독주택,11239,0,127.1653415,37.60973229
1001,단독주택,11174,0,127.1768646,37.61455478
1001,단독주택,39762,0,127.1734239,37.61720665
1001,단독주택,39758,0,127.1733171,37.61725703
1001,단독주택,39761,0,127.1735598,37.61724286
