건물용도코드,건물종류,건물일련번호,가점척도,lon,lat
3102,경찰서,11225,3,127.1622716,37.60872751
3102,경찰서,11197,3,127.1716467,37.61176529
3102,경찰서,11199,3,127.1713238,37.61147087
3102,경찰서,11200,3,127.1714311,37.61124304
3102,경찰서,11201,3,127.1717366,37.61132375
3102,경찰서,11202,3,127.171877,37.6111896
3102,경찰서,11194,3,127.1719034,37.61200085
3102,경찰서,11198,3,127.1716051,37.61208705
3102,경찰서,11193,3,127.1720674,37.61174384
3102,경찰서,44490,3,127.2099441,37.58736318
3102,경찰서,44495,3,127.210069,37.58742958
3102,경찰서,44492,3,127.2100533,37.58739608
3102,경찰서,44496,3,127.2099393,37.58741453
3102,경찰서,9626,3,127.3069157,37.65259803
3102,경찰서,38226,3,127.2095212,37.63437137
3102,경찰서,47807,3,127.2485357,37.65519177
7101,종합병원,10847,3,127.2052079,37.63354596
7101,종합병원,17873,3,127.3043806,37.65192746
7101,종합병원,455,3,127.26186,37.65304684
7101,종합병원,454,3,127.261745,37.65318594
7101,종합병원,456,3,127.261929,37.6527442
7101,종합병원,420,3,127.179902,37.71543599
7101,종합병원,11921,3,127.3012714,37.65494334
7101,종합병원,8222,3,127.1796734,37.71567391
7101,종합병원,10531,3,127.140933,37.64876353
7101,종합병원,66167,3,127.2043725,37.68231756
7101,종합병원,66168,3,127.2045682,37.68272442
7101,종합병원,26951,3,127.1993189,37.70539963
6203,대형판매점,11462,3,127.2816403,37.65653557
6203,대형판매점,11427,3,127.309296,37.65013905
6203,대형판매점,11405,3,127.3119989,37.65069643
6203,대형판매점,11399,3,127.3144357,37.65115547
6203,대형판매점,11394,3,127.3148432,37.6513466
6203,대형판매점,11396,3,127.3141214,37.65125886
6203,대형판매점,11395,3,127.314678,37.65119164
6203,대형판매점,11393,3,127.3146301,37.65160871
6203,대형판매점,44180,3,127.2055431,37.74666156
6203,대형판매점,44186,3,127.2069124,37.74649804
6203,대형판매점,44184,3,127.2062963,37.74671976
6203,대형판매점,44185,3,127.2071773,37.74635506
6203,대형판매점,44187,3,127.2066174,37.74668684
6203,대형판매점,44188,3,127.2063929,37.74656425
6203,대형판매점,52372,3,127.2430528,37.65504749
6203,대형판매점,12124,3,127.3266439,37.70416944
6203,대형판매점,12123,3,127.3265396,37.70400281
6203,대형판매점,67291,3,127.125968,37.64281003
6203,대형판매점,33472,3,127.2148922,37.58487548
6203,대형판매점,33470,3,127.2140194,37.58469723
6203,대형판매점,33471,3,127.2144981,37.58462019
6203,대형판매점,8187,3,127.1808911,37.71761596
6203,대형판매점,8107,3,127.1898508,37.72425562
6203,대형판매점,6990,3,127.1781657,37.66060934
6203,대형판매점,7110,3,127.2025947,37.6732
6203,대형판매점,7220,3,127.2143514,37.69055909
6203,대형판매점,60195,3,127.3384566,37.59565531
6203,대형판매점,652,3,127.3050764,37.65051909
6203,대형판매점,62877,3,127.1917745,37.72594192
6203,대형판매점,623,3,127.3039875,37.65032299
6203,대형판매점,104,3,127.1184162,37.70869866
4023,복합유통.제공업소,20699,3,127.3090691,37.65143242
4023,복합유통.제공업소,40267,3,127.1152249,37.70734673
4023,복합유통.제공업소,21370,3,127.3046958,37.63392519
6204,대형점,10215,3,127.1892115,37.72139043
6204,대형점,10214,3,127.1886066,37.72174739
6204,대형점,2699,3,127.182031,37.70883117
6204,대형점,130,3,127.1117823,37.70935696
