건물용도코드,건물종류,건물일련번호,가점척도,lon,lat
15001,주유소,10117,2,127.1778235,37.65633306
15001,주유소,10058,2,127.1669962,37.67243754
15001,주유소,9976,2,127.169077,37.68592799
15001,주유소,9974,2,127.1716328,37.68823414
15001,주유소,35126,2,127.2285503,37.57799282
15001,주유소,35127,2,127.2285467,37.57790947
15001,주유소,35243,2,127.2109455,37.6084299
15001,주유소,35244,2,127.2108969,37.60825984
15001,주유소,35245,2,127.2109781,37.60820002
15001,주유소,35047,2,127.2072394,37.62227378
15001,주유소,35048,2,127.2075067,37.62214592
15001,주유소,9275,2,127.2394884,37.59908609
15001,주유소,9274,2,127.2395534,37.59897018
15001,주유소,9276,2,127.239564,37.5990134
15001,주유소,9277,2,127.2396708,37.59908276
15001,주유소,9320,2,127.2398138,37.59956702
15001,주유소,8980,2,127.2687135,37.61299756
15001,주유소,8977,2,127.2686998,37.61279599
15001,주유소,8982,2,127.2688243,37.61295844
15001,주유소,8981,2,127.2687592,37.61293657
15001,주유소,9607,2,127.2866051,37.63028567
15001,주유소,9551,2,127.3035446,37.63578432
15001,주유소,9510,2,127.303769,37.64278426
15001,주유소,9511,2,127.3038725,37.64306509
15001,주유소,76833,2,127.1218744,37.64273276
15001,주유소,59988,2,127.1120633,37.67820386
15001,주유소,69810,2,127.1739745,37.65004393
15001,주유소,65597,2,127.1720788,37.66802309
15001,주유소,65598,2,127.1718872,37.66787761
15001,주유소,69293,2,127.173138,37.6695735
15001,주유소,69294,2,127.1734121,37.66973878
15001,주유소,69295,2,127.1733628,37.66957179
15001,주유소,63925,2,127.1789614,37.70140387
15001,주유소,63926,2,127.1789835,37.70163165
15001,주유소,41586,2,127.1786658,37.70226002
15001,주유소,41585,2,127.1788079,37.70212969
15001,주유소,33573,2,127.2434511,37.59989119
15001,주유소,33574,2,127.2435582,37.59982497
15001,주유소,6984,2,127.1872558,37.66894085
15001,주유소,6952,2,127.1882736,37.66981889
15001,주유소,6953,2,127.1883945,37.66993587
15001,주유소,26444,2,127.2027392,37.67400906
15001,주유소,7108,2,127.2036615,37.67379566
15001,주유소,7107,2,127.2037015,37.67389857
15001,주유소,7223,2,127.2132747,37.69074487
15001,주유소,68655,2,127.1689899,37.61708176
15001,주유소,25869,2,127.1655987,37.6350412
15001,주유소,7470,2,127.1657286,37.63506185
15001,주유소,7490,2,127.1640401,37.63808695
15001,주유소,17514,2,127.118538,37.70730568
15001,주유소,17512,2,127.1183847,37.70723318
15001,주유소,17515,2,127.1183633,37.70737412
15001,주유소,66958,2,127.1855155,37.71056464
15001,주유소,53229,2,127.2046295,37.63117629
15001,주유소,53227,2,127.204897,37.63143907
15001,주유소,53228,2,127.2049153,37.63148371
15001,주유소,27847,2,127.1375654,37.64582171
15001,주유소,27728,2,127.1591009,37.6505961
15001,주유소,27743,2,127.168143,37.64951647
15001,주유소,38841,2,127.1844766,37.59435679
15001,주유소,38849,2,127.1845632,37.5941564
15001,주유소,38850,2,127.184621,37.59415193
15001,주유소,38853,2,127.18438,37.59413575
15001,주유소,38848,2,127.1846867,37.59416077
15001,주유소,38847,2,127.1844861,37.59421936
15001,주유소,38749,2,127.194783,37.59414912
15001,주유소,38750,2,127.1943384,37.59428194
15001,주유소,38751,2,127.1942166,37.59414748
15001,주유소,8613,2,127.3382629,37.59459764
15001,주유소,8614,2,127.3384772,37.59463287
15001,주유소,8615,2,127.3383763,37.59448539
